provider	dotPath	method	tier	rationale
alibaba	api.v1.services.aigc.imageGeneration.generation	POST	expensive	Metered Qwen LLM provider; per-call token cost bills real money
alibaba	api.v1.services.aigc.multimodalGeneration.generation	POST	expensive	Metered Qwen LLM provider; per-call token cost bills real money
alibaba	api.v1.services.aigc.videoGeneration.videoSynthesis	POST	expensive	Metered Qwen LLM provider; per-call token cost bills real money
alibaba	api.v1.tasks	GET	expensive	Metered Qwen LLM provider; per-call token cost bills real money
alibaba	api.v1.uploads	GET	expensive	Metered Qwen LLM provider; per-call token cost bills real money
alibaba	compatibleMode.v1.chat.completions	POST	expensive	Metered Qwen LLM provider; per-call token cost bills real money
alibaba	compatibleMode.v1.models	GET	expensive	Metered Qwen LLM provider; per-call token cost bills real money
anthropic	api.oauth.usage	GET	expensive	Metered LLM provider; per-call token cost bills real money
anthropic	v1.files	POST	expensive	Metered LLM provider; per-call token cost bills real money
anthropic	v1.files.content	GET	expensive	Metered LLM provider; per-call token cost bills real money
anthropic	v1.files.del	DELETE	expensive	Metered LLM provider; per-call token cost bills real money
anthropic	v1.files.list	GET	expensive	Metered LLM provider; per-call token cost bills real money
anthropic	v1.files.retrieve	GET	expensive	Metered LLM provider; per-call token cost bills real money
anthropic	v1.messages	POST	expensive	Metered LLM provider; per-call token cost bills real money
anthropic	v1.messages.batches	POST	expensive	Metered LLM provider; per-call token cost bills real money
anthropic	v1.messages.batches.cancel	POST	expensive	Metered LLM provider; per-call token cost bills real money
anthropic	v1.messages.batches.del	DELETE	expensive	Metered LLM provider; per-call token cost bills real money
anthropic	v1.messages.batches.list	GET	expensive	Metered LLM provider; per-call token cost bills real money
anthropic	v1.messages.batches.results	GET	expensive	Metered LLM provider; per-call token cost bills real money
anthropic	v1.messages.batches.retrieve	GET	expensive	Metered LLM provider; per-call token cost bills real money
anthropic	v1.messages.countTokens	POST	expensive	Metered LLM provider; per-call token cost bills real money
anthropic	v1.models.list	GET	expensive	Metered LLM provider; per-call token cost bills real money
anthropic	v1.models.retrieve	GET	expensive	Metered LLM provider; per-call token cost bills real money
anthropic	v1.skills.create	POST	expensive	Metered LLM provider; per-call token cost bills real money
anthropic	v1.skills.del	DELETE	expensive	Metered LLM provider; per-call token cost bills real money
anthropic	v1.skills.list	GET	expensive	Metered LLM provider; per-call token cost bills real money
anthropic	v1.skills.retrieve	GET	expensive	Metered LLM provider; per-call token cost bills real money
anthropic	v1.skills.versions.create	POST	expensive	Metered LLM provider; per-call token cost bills real money
anthropic	v1.skills.versions.del	DELETE	expensive	Metered LLM provider; per-call token cost bills real money
anthropic	v1.skills.versions.list	GET	expensive	Metered LLM provider; per-call token cost bills real money
b2	buckets.create	PUT	cheap	Backblaze B2 S3-compatible request ops; per-request cost << $0.01
b2	buckets.del	DELETE	cheap	Backblaze B2 S3-compatible request ops; per-request cost << $0.01
b2	buckets.delCors	DELETE	cheap	Backblaze B2 S3-compatible request ops; per-request cost << $0.01
b2	buckets.delEncryption	DELETE	cheap	Backblaze B2 S3-compatible request ops; per-request cost << $0.01
b2	buckets.getAcl	GET	cheap	Backblaze B2 S3-compatible request ops; per-request cost << $0.01
b2	buckets.getCors	GET	cheap	Backblaze B2 S3-compatible request ops; per-request cost << $0.01
b2	buckets.getEncryption	GET	cheap	Backblaze B2 S3-compatible request ops; per-request cost << $0.01
b2	buckets.getObjectLockConfiguration	GET	cheap	Backblaze B2 S3-compatible request ops; per-request cost << $0.01
b2	buckets.getVersioning	GET	cheap	Backblaze B2 S3-compatible request ops; per-request cost << $0.01
b2	buckets.head	HEAD	cheap	Backblaze B2 S3-compatible request ops; per-request cost << $0.01
b2	buckets.list	GET	cheap	Backblaze B2 S3-compatible request ops; per-request cost << $0.01
b2	buckets.location	GET	cheap	Backblaze B2 S3-compatible request ops; per-request cost << $0.01
b2	buckets.putAcl	PUT	cheap	Backblaze B2 S3-compatible request ops; per-request cost << $0.01
b2	buckets.putCors	PUT	cheap	Backblaze B2 S3-compatible request ops; per-request cost << $0.01
b2	buckets.putEncryption	PUT	cheap	Backblaze B2 S3-compatible request ops; per-request cost << $0.01
b2	buckets.putObjectLockConfiguration	PUT	cheap	Backblaze B2 S3-compatible request ops; per-request cost << $0.01
b2	objects.abortMultipartUpload	DELETE	cheap	Backblaze B2 S3-compatible request ops; per-request cost << $0.01
b2	objects.completeMultipartUpload	POST	cheap	Backblaze B2 S3-compatible request ops; per-request cost << $0.01
b2	objects.copy	PUT	cheap	Backblaze B2 S3-compatible request ops; per-request cost << $0.01
b2	objects.createMultipartUpload	POST	cheap	Backblaze B2 S3-compatible request ops; per-request cost << $0.01
b2	objects.del	DELETE	cheap	Backblaze B2 S3-compatible request ops; per-request cost << $0.01
b2	objects.delMany	POST	cheap	Backblaze B2 S3-compatible request ops; per-request cost << $0.01
b2	objects.get	GET	cheap	Backblaze B2 S3-compatible request ops; per-request cost << $0.01
b2	objects.getAcl	GET	cheap	Backblaze B2 S3-compatible request ops; per-request cost << $0.01
b2	objects.getLegalHold	GET	cheap	Backblaze B2 S3-compatible request ops; per-request cost << $0.01
b2	objects.getRetention	GET	cheap	Backblaze B2 S3-compatible request ops; per-request cost << $0.01
b2	objects.getStream	GET	cheap	Backblaze B2 S3-compatible request ops; per-request cost << $0.01
